LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
LN000001,56,27621,64205,790,92,15,6.4,12,0.99,High School,Full-time,Single,No,No,Business,No,0
LN000002,46,31831,39266,694,119,19,11.45,240,0.0623,Master's,Part-time,Married,Yes,Yes,Business,Yes,0
LN000003,35,94778,44404,603,57,10,13.6,120,0.0474,Master's,Full-time,Married,Yes,Yes,Education,No,0
LN000004,36,63699,40489,776,19,7,7.56,48,0.1599,Bachelor's,Full-time,Divorced,Yes,No,Auto,No,0
LN000005,48,106373,155218,590,147,1,16.55,48,0.3698,PhD,Full-time,Married,No,No,Business,No,0
LN000006,50,68613,120599,720,33,17,9.18,60,0.3542,Bachelor's,Full-time,Married,No,Yes,Business,Yes,0
LN000007,18,28039,62245,600,103,12,14.41,60,0.4493,High School,Full-time,Single,No,No,Home,Yes,1
LN000008,23,93584,83246,726,103,9,7.75,120,0.0895,Master's,Full-time,Married,No,Yes,Auto,Yes,0
LN000009,43,42224,35153,542,124,0,17.41,360,0.0282,Master's,Part-time,Divorced,No,No,Auto,No,0
LN000010,39,67113,48112,692,72,13,9.61,48,0.1807,Bachelor's,Self-employed,Single,No,No,Auto,No,0
LN000011,49,80352,227622,766,38,9,8.04,36,0.9506,Master's,Self-employed,Divorced,Yes,Yes,Home,Yes,0
LN000012,55,34100,53232,757,166,17,8.21,120,0.1572,High School,Full-time,Single,No,Yes,Business,No,0
LN000013,21,4339,6213,803,0,2,6.39,120,0.144,High School,Unemployed,Single,No,No,Business,No,0
LN000014,34,18041,20839,697,64,4,7.95,120,0.1163,High School,Part-time,Married,Yes,No,Business,No,0
LN000015,51,95171,82715,623,14,1,13.17,36,0.2929,Master's,Full-time,Single,No,Yes,Auto,No,1
LN000016,47,21483,44159,732,25,19,9.18,180,0.1381,High School,Part-time,Married,Yes,No,Business,No,0
LN000017,33,33750,10892,324,1,0,28.2,36,0.1101,High School,Full-time,Married,No,Yes,Personal,No,1
LN000018,35,97298,93914,771,119,15,7.4,240,0.0486,PhD,Full-time,Married,No,No,Auto,No,0
LN000019,48,90165,470155,509,1,11,18.49,48,0.99,Master's,Full-time,Single,Yes,No,Home,No,1
LN000020,29,28532,53888,674,145,13,10.25,36,0.6349,High School,Full-time,Married,No,No,Business,No,0
LN000021,40,26824,23400,459,1,17,21.74,60,0.1776,Bachelor's,Part-time,Married,Yes,No,Auto,Yes,0
LN000022,53,34369,110711,418,35,17,22.2,12,0.99,High School,Self-employed,Single,Yes,No,Home,Yes,1
LN000023,21,37466,25744,589,95,7,15.31,240,0.0348,High School,Full-time,Divorced,Yes,Yes,Education,No,1
LN000024,21,25593,8543,420,87,2,22.67,120,0.034,High School,Self-employed,Married,Yes,No,Personal,Yes,0
LN000025,48,94619,64063,685,76,17,13.12,48,0.1711,Master's,Full-time,Divorced,No,Yes,Auto,Yes,0
LN000026,28,70168,23529,468,108,8,21.74,120,0.0341,Master's,Full-time,Divorced,Yes,Yes,Personal,No,0
LN000027,33,18281,62636,571,47,12,17.43,240,0.1738,High School,Part-time,Married,No,Yes,Home,No,1
LN000028,21,35524,20056,517,1,5,19.54,48,0.1434,High School,Full-time,Married,Yes,Yes,Personal,No,0
LN000029,34,43379,77653,676,110,2,12.13,36,0.6027,Bachelor's,Self-employed,Married,Yes,No,Business,No,0
LN000030,45,59196,96263,557,48,7,17.2,120,0.1649,Bachelor's,Self-employed,Single,No,No,Business,No,1
LN000031,45,18271,64711,775,78,12,9.18,36,0.99,High School,Part-time,Married,No,No,Home,No,1
LN000032,46,98173,44164,696,9,8,10.82,48,0.1135,Master's,Self-employed,Single,No,No,Personal,Yes,0
LN000033,22,17322,8540,630,2,6,12.85,120,0.0498,PhD,Unemployed,Married,Yes,No,Education,No,1
LN000034,33,15851,63100,785,1,2,6.44,24,0.99,High School,Part-time,Single,Yes,Yes,Home,No,0
LN000035,30,30681,43021,575,84,12,16.49,36,0.4738,Bachelor's,Part-time,Single,No,No,Home,Yes,0
LN000036,36,73842,191533,773,66,6,7.08,36,0.8697,Bachelor's,Self-employed,Married,Yes,Yes,Home,No,0
LN000037,50,48293,31919,850,73,14,3.0,36,0.2209,Bachelor's,Full-time,Married,No,No,Auto,No,0
LN000038,41,34604,23152,809,1,7,8.73,36,0.2246,High School,Full-time,Divorced,No,Yes,Auto,No,0
LN000039,36,93591,459732,559,84,4,18.05,120,0.4986,Master's,Self-employed,Single,Yes,No,Home,No,0
LN000040,39,85786,31386,733,27,16,8.73,60,0.0737,Master's,Full-time,Single,Yes,Yes,Personal,No,0
LN000041,48,11722,28628,407,3,7,22.38,24,0.99,Master's,Unemployed,Single,No,Yes,Home,Yes,1
LN000042,38,47178,19228,672,1,6,9.88,60,0.0822,Bachelor's,Self-employed,Married,Yes,No,Personal,No,0
LN000043,44,42141,34831,744,158,8,8.89,12,0.8327,Bachelor's,Full-time,Married,No,Yes,Education,Yes,0
LN000044,33,50372,17224,607,82,10,13.5,36,0.1153,PhD,Part-time,Married,No,No,Personal,No,1
LN000045,38,61877,35776,555,34,19,17.45,180,0.0391,Bachelor's,Full-time,Single,No,Yes,Education,No,1
LN000046,34,90116,40898,849,75,0,5.51,48,0.114,Master's,Self-employed,Married,Yes,No,Auto,Yes,0
LN000047,46,26922,24080,750,76,19,8.55,36,0.3003,High School,Full-time,Single,No,Yes,Business,No,1
LN000048,38,6543,8345,849,0,1,3.0,24,0.6393,Bachelor's,Unemployed,Married,No,Yes,Business,No,0
LN000049,23,27790,13665,563,86,18,15.49,60,0.0996,High School,Self-employed,Divorced,Yes,Yes,Personal,Yes,1
LN000050,26,109710,46657,747,48,16,9.34,60,0.0857,PhD,Full-time,Married,Yes,Yes,Personal,No,0
LN000051,33,66065,326966,704,33,14,8.37,240,0.2492,Bachelor's,Full-time,Single,No,No,Home,Yes,0
LN000052,39,38775,34184,769,59,1,8.62,24,0.444,Bachelor's,Full-time,Married,Yes,Yes,Auto,No,0
LN000053,57,59547,222497,636,70,15,14.18,48,0.9452,Bachelor's,Full-time,Married,Yes,No,Home,No,0
LN000054,44,38714,14889,735,51,10,6.28,360,0.0129,High School,Full-time,Single,Yes,No,Education,No,0
LN000055,32,7995,5631,606,2,6,14.54,120,0.0713,Bachelor's,Unemployed,Divorced,No,Yes,Education,No,0
LN000056,48,26645,17008,850,76,13,6.07,36,0.2138,High School,Full-time,Married,Yes,Yes,Education,Yes,0
LN000057,51,57963,37252,703,1,0,11.22,36,0.2162,Bachelor's,Full-time,Divorced,No,Yes,Education,No,0
LN000058,38,55475,22336,804,10,1,5.66,120,0.0405,Bachelor's,Full-time,Married,No,No,Personal,Yes,0
LN000059,49,6126,5239,721,3,17,10.56,12,0.8627,Bachelor's,Unemployed,Single,No,Yes,Auto,No,0
LN000060,24,126300,539603,330,65,10,27.89,36,0.99,PhD,Self-employed,Married,No,No,Home,No,1
LN000061,57,90696,57193,709,56,0,10.77,60,0.1273,Master's,Full-time,Married,Yes,No,Auto,No,0
LN000062,29,47449,215643,691,128,6,10.09,60,0.9166,Master's,Part-time,Divorced,No,Yes,Home,No,0
LN000063,40,49474,37078,765,16,16,7.14,24,0.377,Bachelor's,Full-time,Single,Yes,No,Auto,No,0
LN000064,21,80965,49650,683,52,10,10.56,60,0.1237,Bachelor's,Self-employed,Married,No,No,Auto,No,0
LN000065,43,27065,54641,558,1,5,18.82,120,0.2051,Bachelor's,Part-time,Married,Yes,No,Business,No,1
LN000066,45,63875,104890,789,60,2,4.82,60,0.3297,Master's,Self-employed,Single,No,No,Business,Yes,0
LN000067,18,65946,107105,601,87,6,15.18,12,0.99,Bachelor's,Full-time,Single,Yes,Yes,Business,No,0
LN000068,37,15784,20847,655,139,6,13.8,12,0.99,High School,Part-time,Married,No,No,Business,No,0
LN000069,31,44102,134718,549,54,16,17.85,60,0.62,High School,Full-time,Single,Yes,No,Home,No,1
LN000070,43,59296,231624,641,51,6,13.42,60,0.79,Bachelor's,Full-time,Married,No,Yes,Home,No,1
LN000071,21,68863,39600,385,11,9,22.56,180,0.0391,Bachelor's,Self-employed,Single,No,No,Personal,No,1
LN000072,59,4560,2052,736,2,19,7.69,240,0.0226,High School,Unemployed,Single,Yes,No,Personal,No,0
LN000073,36,35864,150141,629,41,0,13.39,180,0.2822,High School,Self-employed,Married,No,Yes,Home,No,0
LN000074,34,38033,74577,741,50,13,8.59,180,0.1317,Bachelor's,Part-time,Married,Yes,No,Business,No,0
LN000075,27,85919,27154,773,28,8,7.34,36,0.106,Master's,Full-time,Married,No,No,Personal,No,0
LN000076,49,78881,291900,686,88,5,10.53,240,0.1866,Bachelor's,Self-employed,Married,Yes,No,Home,No,0
LN000077,55,31803,12021,748,100,4,8.76,48,0.0952,Bachelor's,Part-time,Married,No,No,Personal,No,0
LN000078,23,48507,157958,727,87,8,9.61,360,0.1094,High School,Self-employed,Married,Yes,Yes,Home,No,0
LN000079,32,47555,43723,631,108,10,13.26,120,0.093,Master's,Part-time,Married,Yes,No,Auto,No,0
LN000080,48,45357,36824,624,66,14,14.4,180,0.0548,Bachelor's,Full-time,Divorced,Yes,Yes,Auto,No,0
LN000081,43,16837,7307,373,78,5,22.58,36,0.1474,High School,Part-time,Married,No,Yes,Personal,No,1
LN000082,29,75861,25534,584,1,14,14.2,36,0.1135,Bachelor's,Self-employed,Married,No,Yes,Education,No,1
LN000083,40,36253,63148,332,34,4,26.72,120,0.1781,Bachelor's,Part-time,Divorced,No,No,Business,No,1
LN000084,48,10577,5494,730,3,6,8.22,60,0.1046,PhD,Unemployed,Married,No,Yes,Personal,No,0
LN000085,28,109887,186026,579,51,6,17.75,240,0.0859,PhD,Full-time,Single,No,Yes,Business,No,1
LN000086,43,10819,9625,790,15,8,6.81,60,0.1789,High School,Part-time,Single,No,No,Business,No,0
LN000087,49,36426,97961,782,7,15,7.72,36,0.9022,Bachelor's,Part-time,Divorced,Yes,No,Home,No,0
LN000088,39,37758,55534,704,48,18,11.58,36,0.495,Bachelor's,Part-time,Married,Yes,No,Business,No,0
LN000089,31,28245,37799,721,146,15,8.54,240,0.0674,High School,Full-time,Single,No,No,Business,No,0
LN000090,44,64531,27398,508,50,6,20.5,60,0.0864,Bachelor's,Full-time,Single,No,Yes,Personal,No,0
LN000091,32,3787,2800,611,2,14,14.32,360,0.0249,High School,Unemployed,Divorced,No,Yes,Auto,No,1
LN000092,64,27203,17975,541,90,2,17.42,12,0.6704,Bachelor's,Part-time,Married,Yes,No,Auto,No,0
LN000093,26,64005,40572,734,78,0,10.04,48,0.1598,Bachelor's,Full-time,Married,No,Yes,Auto,Yes,0
LN000094,41,7873,3620,741,3,6,9.35,48,0.1158,Master's,Unemployed,Married,No,Yes,Personal,Yes,0
LN000095,53,5600,7807,531,3,16,17.4,180,0.0943,High School,Unemployed,Married,No,No,Business,Yes,0
LN000096,33,47809,47088,723,6,16,9.61,36,0.3309,Master's,Part-time,Single,Yes,Yes,Auto,No,0
LN000097,24,49755,43290,704,23,9,9.72,12,0.8771,Bachelor's,Self-employed,Single,Yes,No,Auto,No,0
LN000098,25,82270,30964,618,105,16,15.35,24,0.1906,Master's,Full-time,Divorced,Yes,No,Personal,Yes,0
LN000099,28,8897,4593,506,0,19,20.24,180,0.035,Master's,Unemployed,Divorced,Yes,Yes,Education,No,1
LN000100,31,72389,40403,800,105,19,6.11,36,0.187,Bachelor's,Self-employed,Married,No,No,Education,No,0
LN000101,38,32773,13979,618,1,9,14.77,240,0.0216,High School,Self-employed,Married,No,Yes,Education,No,0
LN000102,39,99830,252552,845,24,8,5.65,240,0.1271,Master's,Self-employed,Single,Yes,No,Home,No,0
LN000103,45,92134,164270,564,52,3,16.74,60,0.3616,Master's,Full-time,Married,No,Yes,Business,No,0
LN000104,43,63793,34975,612,44,18,14.18,120,0.0555,Master's,Full-time,Married,No,No,Auto,No,0
LN000105,20,81552,111464,485,39,9,18.82,48,0.3471,PhD,Full-time,Married,No,Yes,Business,No,1
LN000106,50,51271,172692,513,57,9,18.1,180,0.2279,Bachelor's,Full-time,Married,No,No,Home,No,1
LN000107,30,107730,59839,661,108,6,11.61,240,0.028,Master's,Full-time,Married,Yes,Yes,Education,No,0
LN000108,20,41855,25003,320,65,6,28.29,120,0.0611,Bachelor's,Full-time,Married,Yes,No,Education,No,1
LN000109,42,46909,36469,812,17,9,4.89,24,0.3903,Bachelor's,Self-employed,Married,No,No,Auto,Yes,0
LN000110,36,33721,109113,850,62,19,5.01,360,0.1083,High School,Self-employed,Single,Yes,Yes,Home,No,0
LN000111,31,55109,53591,520,56,8,19.29,240,0.0494,Bachelor's,Self-employed,Married,Yes,No,Auto,Yes,0
LN000112,32,105378,369723,732,62,17,8.83,120,0.3534,PhD,Full-time,Single,No,Yes,Home,Yes,0
LN000113,48,67350,95731,595,1,7,14.27,48,0.3596,Bachelor's,Full-time,Married,Yes,No,Business,No,0
LN000114,37,33019,131121,737,80,3,8.25,360,0.1333,High School,Full-time,Married,No,Yes,Home,Yes,0
LN000115,36,60410,37628,596,10,0,14.06,48,0.1575,Bachelor's,Full-time,Single,No,Yes,Education,Yes,0
LN000116,40,74136,125448,819,49,18,6.56,60,0.3403,Master's,Self-employed,Divorced,No,No,Business,No,0
LN000117,23,27126,88918,799,3,12,5.8,24,0.99,High School,Self-employed,Married,Yes,No,Home,Yes,0
LN000118,38,56911,52552,520,153,5,19.24,24,0.4691,Bachelor's,Self-employed,Single,No,Yes,Business,Yes,0
LN000119,35,67512,57969,770,66,1,7.36,240,0.0432,Bachelor's,Full-time,Single,Yes,No,Auto,Yes,0
LN000120,46,18615,23918,720,62,5,9.59,120,0.1295,High School,Part-time,Single,Yes,No,Business,Yes,0
LN000121,39,14336,20405,692,90,17,9.41,36,0.4782,High School,Part-time,Single,No,No,Business,No,0
LN000122,58,45139,29745,468,104,15,23.74,180,0.0448,Master's,Full-time,Single,No,Yes,Education,No,0
LN000123,44,41986,102664,689,10,6,12.44,36,0.8235,High School,Full-time,Married,No,No,Home,No,0
LN000124,40,81132,62916,844,1,3,5.27,240,0.0389,Master's,Self-employed,Married,No,No,Auto,No,0
LN000125,31,42637,23273,552,95,9,17.02,180,0.0369,High School,Full-time,Married,No,No,Personal,No,0
LN000126,25,54171,192091,533,134,10,18.76,120,0.3601,Bachelor's,Full-time,Married,Yes,No,Home,No,1
LN000127,27,34947,29245,675,54,5,12.15,36,0.2818,Bachelor's,Part-time,Married,No,Yes,Auto,No,0
LN000128,57,41786,62663,642,108,7,14.32,48,0.3794,Master's,Part-time,Single,Yes,Yes,Business,No,1
LN000129,44,61735,35905,592,196,3,16.22,36,0.1965,Bachelor's,Full-time,Married,No,No,Education,Yes,0
LN000130,34,6689,2698,341,3,5,26.41,360,0.0137,Bachelor's,Unemployed,Married,Yes,No,Education,Yes,1
LN000131,52,26007,83747,525,32,9,19.08,120,0.3271,High School,Full-time,Divorced,Yes,Yes,Home,No,0
LN000132,18,16543,9304,529,110,9,17.11,360,0.019,High School,Full-time,Married,No,No,Education,No,0
LN000133,28,40692,157249,732,61,9,9.42,180,0.2596,High School,Full-time,Married,No,No,Home,No,0
LN000134,35,47263,60148,605,92,15,13.86,48,0.3218,Bachelor's,Full-time,Single,Yes,No,Business,No,1
LN000135,18,3206,1811,661,1,7,12.21,48,0.1427,High School,Unemployed,Divorced,No,No,Auto,Yes,0
LN000136,55,44517,188756,549,90,9,17.98,60,0.8607,Master's,Part-time,Single,Yes,Yes,Home,No,0
LN000137,54,47514,44935,710,92,7,9.49,24,0.4766,High School,Self-employed,Married,Yes,No,Auto,No,0
LN000138,32,66163,34100,771,140,13,10.02,120,0.052,Bachelor's,Full-time,Married,No,Yes,Education,No,0
LN000139,38,50299,179196,565,55,0,16.78,60,0.7225,Bachelor's,Full-time,Married,Yes,Yes,Home,No,0
LN000140,35,89760,75234,311,14,6,27.92,60,0.1715,Master's,Self-employed,Single,No,No,Auto,Yes,1
LN000141,52,3449,1324,441,0,14,20.93,240,0.0195,High School,Unemployed,Married,Yes,No,Education,No,1
LN000142,47,62460,248222,318,117,18,28.37,360,0.1356,Master's,Full-time,Divorced,No,No,Home,No,1
LN000143,38,57918,204153,636,21,3,15.63,240,0.1785,Bachelor's,Full-time,Single,Yes,Yes,Home,No,1
LN000144,65,5085,3603,619,0,18,14.54,36,0.239,High School,Unemployed,Married,Yes,Yes,Auto,No,1
LN000145,27,3965,2685,672,0,15,10.73,360,0.0228,High School,Unemployed,Married,No,No,Education,No,0
